|    name |     cenx |     ceny |      c1x |      c1y |      c2x |      c2y |      c3x |      c3y |      c4x |      c4y |   nx |   ny |    zerox |    zeroy |    xhatx |    xhaty |    yhatx |    yhaty |
| R22_S12 |    42.25 |      0.0 |    21.77 |   -20.02 |    62.73 |   -20.02 |    62.73 |    20.02 |    21.77 |    20.02 | 4096 | 4004 |   21.775 |  -20.015 |   31.775 |  -20.015 |   21.775 |  -10.015 |
| R22_S20 |   -42.25 |    42.25 |   -62.73 |    22.23 |   -21.77 |    22.23 |   -21.77 |    62.27 |   -62.73 |    62.27 | 4096 | 4004 |  -62.725 |   22.235 |  -52.725 |   22.235 |  -62.725 |   32.235 |
| R22_S21 |      0.0 |    42.25 |   -20.48 |    22.23 |    20.48 |    22.23 |    20.48 |    62.27 |   -20.48 |    62.27 | 4096 | 4004 |  -20.475 |   22.235 |  -10.475 |   22.235 |  -20.475 |   32.235 |
| R22_S22 |    42.25 |    42.25 |    21.77 |    22.23 |    62.73 |    22.23 |    62.73 |    62.27 |    21.77 |    62.27 | 4096 | 4004 |   21.775 |   22.235 |   31.775 |   22.235 |   21.775 |   32.235 |
| R23_S00 |    84.75 |   -42.25 |    64.27 |   -62.27 |   105.23 |   -62.27 |   105.23 |   -22.23 |    64.27 |   -22.23 | 4096 | 4004 |   64.275 |  -62.265 |   74.275 |  -62.265 |   64.275 |  -52.265 |
| R23_S01 |    127.0 |   -42.25 |   106.52 |   -62.27 |   147.48 |   -62.27 |   147.48 |   -22.23 |   106.52 |   -22.23 | 4096 | 4004 |  106.525 |  -62.265 |  116.525 |  -62.265 |  106.525 |  -52.265 |
| R23_S02 |   169.25 |   -42.25 |   148.77 |   -62.27 |   189.73 |   -62.27 |   189.73 |   -22.23 |   148.77 |   -22.23 | 4096 | 4004 |  148.775 |  -62.265 |  158.775 |  -62.265 |  148.775 |  -52.265 |
| R23_S10 |    84.75 |      0.0 |    64.27 |   -20.02 |   105.23 |   -20.02 |   105.23 |    20.02 |    64.27 |    20.02 | 4096 | 4004 |   64.275 |  -20.015 |   74.275 |  -20.015 |   64.275 |  -10.015 |
| R23_S11 |    127.0 |      0.0 |   106.52 |   -20.02 |   147.48 |   -20.02 |   147.48 |    20.02 |   106.52 |    20.02 | 4096 | 4004 |  106.525 |  -20.015 |  116.525 |  -20.015 |  106.525 |  -10.015 |
| R23_S12 |   169.25 |      0.0 |   148.77 |   -20.02 |   189.73 |   -20.02 |   189.73 |    20.02 |   148.77 |    20.02 | 4096 | 4004 |  148.775 |  -20.015 |  158.775 |  -20.015 |  148.775 |  -10.015 |
| R23_S20 |    84.75 |    42.25 |    64.27 |    22.23 |   105.23 |    22.23 |   105.23 |    62.27 |    64.27 |    62.27 | 4096 | 4004 |   64.275 |   22.235 |   74.275 |   22.235 |   64.275 |   32.235 |
| R23_S21 |    127.0 |    42.25 |   106.52 |    22.23 |   147.48 |    22.23 |   147.48 |    62.27 |   106.52 |    62.27 | 4096 | 4004 |  106.525 |   22.235 |  116.525 |   22.235 |  106.525 |   32.235 |
| R23_S22 |   169.25 |    42.25 |   148.77 |    22.23 |   189.73 |    22.23 |   189.73 |    62.27 |   148.77 |    62.27 | 4096 | 4004 |  148.775 |   22.235 |  158.775 |   22.235 |  148.775 |   32.235 |
